,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,1.0780551453955006e-06,0.002281883391087143,0.005638587762133601,2.156110290791001e-06,0.0023501602169621913,0.003776427174320439,0.0014309385296549613,0.0007122350993912941,0.001269589609560768,0.00021597038079423196,0.0014798103629128905,0.0010590095044935134,8.732246677703555e-05,0.0010593688562086454,0.0005555577515938147,4.49189643914792e-05,8.265089448032172e-06,8.87598736375629e-05,5.641821927569787e-05,0.0006701909487208695,3.5935171513183358e-06,3.5935171513183356e-07,0.0,2.838878549541485e-05,2.910748892567852e-05,0.0,1.1499254884218674e-05,0.0003424621845206374,9.271274250401306e-05,1.8686289186855344e-05,3.9528688664501694e-06,0.0006263500394747859,9.343144593427672e-06,1.1139903169086841e-05,2.9826192355942185e-05,3.9528688664501694e-06,1.0780551453955006e-05,0.0,1.617082718093251e-05,1.006184802369134e-05,0.0,5.03092401184567e-06,2.156110290791001e-06,8.265089448032172e-06,1.006184802369134e-05,2.156110290791001e-06,0.0008221967242216352,8.983792878295839e-06,9.379079764940855e-05,4.312220581582002e-06
and,3.5935171513183356e-07,3.5935171513183356e-07,4.671572296713836e-06,1.4374068605273342e-06,6.827682587504838e-06,2.1561102907910013e-05,7.1870343026366716e-06,3.5935171513183356e-07,7.546386017768504e-06,1.0780551453955006e-06,2.2639158053305515e-05,1.4374068605273342e-06,1.4374068605273342e-06,3.9528688664501694e-06,1.0780551453955006e-06,0.0,1.0780551453955006e-06,3.5935171513183356e-07,6.1089791572411706e-06,0.0,3.9528688664501694e-06,7.187034302636671e-07,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,2.156110290791001e-06,7.187034302636671e-07,1.7967585756591679e-06,1.4374068605273342e-06,3.9528688664501694e-06,3.5935171513183358e-06,0.0,1.7967585756591679e-06,0.0,3.9528688664501694e-06,1.4374068605273342e-06,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,1.4374068605273342e-06,0.0
of,1.4374068605273342e-06,1.3296013459877841e-05,2.4435916628964682e-05,0.0,1.904564090198718e-05,2.8029433780283017e-05,3.5935171513183358e-06,1.4374068605273343e-05,2.8748137210546685e-06,2.5873323489492017e-05,2.8748137210546685e-06,0.00017536363698433477,3.5935171513183356e-07,5.749627442109337e-06,3.9528688664501694e-06,3.234165436186502e-06,7.187034302636671e-07,1.545212375066884e-05,8.624441163164005e-06,2.156110290791001e-06,0.0,0.0,0.0,0.0,1.7967585756591679e-06,0.0,0.0,9.702496308559506e-06,1.0780551453955006e-06,5.03092401184567e-06,0.0,3.5935171513183356e-07,1.7967585756591679e-06,0.0,2.156110290791001e-06,0.0,1.0780551453955006e-06,0.0,1.0780551453955006e-06,2.515462005922835e-06,0.0,0.0,0.0,3.5935171513183356e-07,1.7967585756591679e-06,0.0,4.312220581582002e-06,0.0,0.00012864791401719642,1.0780551453955006e-06
a,3.5935171513183356e-07,0.0007251717611360401,0.0008574131923045549,2.156110290791001e-06,0.0007664972083762009,0.0011779549222021503,0.0007348742574445997,9.989977680664973e-05,0.0008681937437585099,0.0007823086838420017,0.0002501087937317562,0.0019264845448217598,7.833867389873972e-05,0.00016566114067577528,0.0002195638979455503,0.00010636810767902273,1.7608234041459845e-05,0.0001724888232632801,0.0003205417298975955,0.00022100130480607764,0.0,0.0,0.0,4.527831610661103e-05,5.46214607000387e-05,3.5935171513183356e-07,1.4374068605273343e-05,0.0002687950829186115,0.0001261324520112736,2.8748137210546685e-06,1.006184802369134e-05,2.5513971774360184e-05,7.1870343026366716e-06,2.8748137210546685e-06,1.2936661744746008e-05,5.390275726977503e-06,3.126359921646952e-05,0.0,2.3717213198701013e-05,2.4795268344096515e-05,0.0,1.3296013459877841e-05,3.234165436186502e-06,4.49189643914792e-05,1.3655365175009676e-05,7.187034302636671e-07,0.00028748137210546685,1.9404992617119013e-05,2.156110290791001e-06,1.2577310029614174e-05
to,3.5935171513183356e-07,0.00011786736256324141,3.5935171513183356e-07,3.5935171513183356e-07,1.0780551453955006e-06,1.7608234041459845e-05,2.8748137210546685e-06,3.234165436186502e-06,1.0780551453955006e-06,6.971423273557572e-05,8.624441163164005e-06,3.234165436186502e-06,3.5935171513183358e-06,7.187034302636671e-07,1.0780551453955006e-06,1.7967585756591678e-05,1.7967585756591679e-06,2.0842399477646347e-05,3.126359921646952e-05,3.5935171513183356e-07,2.156110290791001e-06,0.0,0.0,1.832693747172351e-05,3.9528688664501694e-06,0.0,2.3717213198701013e-05,0.00010025912852178156,3.1622950931601356e-05,2.8748137210546685e-06,1.0780551453955006e-06,3.5935171513183356e-07,1.0780551453955006e-06,2.8748137210546685e-06,7.546386017768504e-06,8.265089448032172e-06,0.0,0.0,6.64800672993892e-05,2.9466840640810352e-05,0.0,1.4374068605273342e-06,3.5935171513183356e-07,2.156110290791001e-06,6.468330872373004e-06,0.0,0.0,3.9528688664501694e-06,3.9528688664501694e-06,3.5935171513183356e-07
in,3.5935171513183356e-07,3.198230264673319e-05,7.187034302636671e-07,0.0,6.827682587504838e-06,0.0,4.312220581582002e-06,2.407656491383285e-05,2.515462005922835e-06,1.6889530611196176e-05,1.006184802369134e-05,3.234165436186502e-06,2.2998509768437348e-05,3.5935171513183356e-07,7.187034302636671e-07,2.515462005922835e-06,2.515462005922835e-06,8.265089448032172e-06,1.724888232632801e-05,3.5935171513183356e-07,0.0,0.0,0.0,1.7967585756591679e-06,3.234165436186502e-06,0.0,8.624441163164005e-06,5.13872952638522e-05,7.905737732900339e-06,4.671572296713836e-06,1.4374068605273342e-06,7.187034302636671e-07,3.9528688664501694e-06,2.156110290791001e-06,3.5935171513183356e-07,3.5935171513183356e-07,1.4374068605273342e-06,0.0,6.1089791572411706e-06,4.671572296713836e-06,0.0,1.0780551453955006e-06,0.0,2.8748137210546685e-06,3.234165436186502e-06,0.0,0.0,2.156110290791001e-06,3.9528688664501694e-06,2.8748137210546685e-06
for,0.0,2.2639158053305515e-05,3.5935171513183356e-07,3.5935171513183356e-07,7.187034302636671e-07,5.390275726977503e-06,7.187034302636671e-07,4.312220581582002e-06,1.7967585756591679e-06,1.1139903169086841e-05,1.7967585756591679e-06,2.515462005922835e-06,4.671572296713836e-06,0.0,1.0780551453955006e-06,7.187034302636671e-07,0.0,3.5935171513183356e-07,5.749627442109337e-06,0.0,0.0,0.0,0.0,1.7967585756591679e-06,0.0,0.0,7.187034302636671e-07,0.00011535190055731858,1.7967585756591679e-06,1.4374068605273342e-06,0.0,1.4374068605273342e-06,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,3.234165436186502e-06,3.5935171513183358e-06,0.0,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,0.0
that,0.0,4.096609552502902e-05,2.1561102907910013e-05,0.0,6.1089791572411706e-06,7.546386017768504e-06,5.03092401184567e-06,0.0,3.234165436186502e-06,3.845063351910619e-05,1.1858606599350507e-05,9.702496308559506e-06,0.0,7.1870343026366716e-06,0.0,7.187034302636671e-07,3.5935171513183356e-07,3.9528688664501694e-06,2.515462005922835e-06,3.234165436186502e-06,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,4.312220581582002e-06,7.187034302636671e-07,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,1.4374068605273342e-06,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,1.7967585756591679e-06,0.0,2.2998509768437348e-05,3.5935171513183356e-07
with,0.0,1.617082718093251e-05,3.5935171513183356e-07,0.0,3.5935171513183356e-07,1.4014716890141509e-05,1.0780551453955006e-06,7.546386017768504e-06,3.5935171513183356e-07,3.5935171513183356e-07,2.156110290791001e-06,3.9528688664501694e-06,2.8748137210546685e-06,0.0,0.0,3.5935171513183356e-07,3.234165436186502e-06,3.5935171513183356e-07,1.9764344332250846e-05,0.0,0.0,0.0,0.0,2.8748137210546685e-06,0.0,0.0,3.5935171513183356e-07,2.5513971774360184e-05,1.7967585756591679e-06,1.0780551453955006e-06,0.0,0.0,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,0.0,0.0,6.1089791572411706e-06,6.468330872373004e-06,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,1.0780551453955006e-06,1.4374068605273342e-06
is,3.5935171513183356e-07,5.56995158454342e-05,1.4374068605273342e-06,7.187034302636671e-07,3.5935171513183356e-07,1.4374068605273342e-06,0.0,0.0001466154997737881,3.5935171513183356e-07,0.0,7.187034302636671e-07,2.3717213198701013e-05,0.0,0.0,0.0,0.0,4.204415067042453e-05,3.5935171513183356e-07,0.0004743442639740203,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,1.8686289186855344e-05,4.312220581582002e-06,3.5935171513183356e-07,2.120175119277818e-05,0.0,2.4435916628964682e-05,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8871833257929365e-05,3.5935171513183356e-07,3.5935171513183356e-07,0.0,1.1139903169086841e-05,0.0
on,7.187034302636671e-07,8.983792878295839e-06,3.5935171513183356e-07,0.0,7.187034302636671e-07,2.2279806338173682e-05,4.671572296713836e-06,1.7967585756591679e-06,7.187034302636671e-07,2.3717213198701013e-05,0.0,0.0,1.2217958314482341e-05,0.0,0.0,3.5935171513183358e-06,1.4374068605273342e-06,6.468330872373004e-06,5.03092401184567e-06,0.0,0.0,0.0,0.0,7.905737732900339e-06,7.546386017768504e-06,0.0,1.4374068605273342e-06,1.904564090198718e-05,2.515462005922835e-06,3.377906122239235e-05,0.0,3.5935171513183356e-07,1.4374068605273342e-06,3.5935171513183356e-07,3.234165436186502e-05,3.5935171513183356e-07,5.749627442109337e-06,0.0,5.03092401184567e-06,9.343144593427672e-06,0.0,7.187034302636671e-07,0.0,1.4374068605273342e-06,0.0,0.0,0.0,3.234165436186502e-06,0.0,0.0
as,0.0,1.7608234041459845e-05,1.4374068605273342e-06,0.0,2.8748137210546686e-05,4.312220581582002e-06,3.5935171513183358e-06,3.2701006076996854e-05,2.156110290791001e-06,2.2998509768437348e-05,1.7967585756591679e-06,0.0,2.0842399477646347e-05,3.5935171513183356e-07,7.187034302636671e-07,0.0,3.9528688664501694e-06,2.156110290791001e-06,5.4980812415170536e-05,0.0,3.5935171513183356e-07,0.0,0.0,2.156110290791001e-06,2.156110290791001e-06,0.0,9.702496308559506e-06,0.00010960227311520924,6.827682587504838e-06,7.187034302636671e-07,3.5935171513183356e-07,7.187034302636671e-07,1.0780551453955006e-06,7.187034302636671e-07,1.4374068605273342e-06,2.156110290791001e-06,3.9528688664501694e-06,0.0,1.0780551453955006e-06,1.006184802369134e-05,0.0,0.0,0.0,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,1.7967585756591679e-06,1.0780551453955006e-06,3.5935171513183356e-07
are,0.0,3.090424750133768e-05,7.546386017768504e-06,0.0,7.187034302636671e-07,3.5935171513183356e-07,1.0780551453955006e-06,0.0001221795831448234,7.187034302636671e-07,0.0,0.0,7.905737732900339e-06,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,1.7967585756591679e-06,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,1.7967585756591678e-05,5.749627442109337e-06,7.187034302636671e-07,0.0,1.0780551453955006e-06,7.510450846255321e-05,0.0,0.0,9.95404250915179e-05,0.0,0.0,3.952868866450169e-05,7.187034302636671e-07,0.0,0.0001552399409369521,0.0,0.0,2.2639158053305515e-05,6.827682587504838e-06,0.0,0.0,3.5935171513183356e-07,0.0
from,0.0,2.515462005922835e-06,1.4374068605273342e-06,3.5935171513183356e-07,7.187034302636671e-07,7.905737732900339e-06,0.0,3.5935171513183356e-07,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,3.5935171513183356e-07,6.1089791572411706e-06,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,9.343144593427672e-06,1.4374068605273342e-06,1.7967585756591679e-06,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,1.0780551453955006e-06,1.0780551453955006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,0.0
by,0.0,3.9528688664501694e-06,0.0,0.0,1.7967585756591679e-06,2.156110290791001e-06,7.187034302636671e-07,6.1089791572411706e-06,0.0,1.7967585756591679e-06,3.9528688664501694e-06,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,1.4733420320405176e-05,7.187034302636671e-07,1.0780551453955006e-06,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0780551453955006e-06,0.0
has,0.0,2.838878549541485e-05,3.5935171513183356e-07,7.187034302636671e-07,3.5935171513183356e-07,7.187034302636671e-07,0.0,0.0002184858428001548,0.0,0.0,0.0,1.0780551453955006e-06,0.0,0.0,0.0,0.0,1.904564090198718e-05,0.0,5.210599869411587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,2.838878549541485e-05,1.0780551453955006e-06,0.0,5.282470212437953e-05,0.0,6.180849500267537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,7.222969474149855e-05,0.0,0.0,0.0,7.187034302636671e-07,0.0
this,0.0,2.838878549541485e-05,0.00047290685711349296,3.5935171513183356e-07,9.055663221322206e-05,0.0002864033169600713,5.102794354872037e-05,0.00010169653538230889,3.952868866450169e-05,6.827682587504838e-06,0.0002195638979455503,2.2998509768437348e-05,3.5935171513183356e-07,7.187034302636671e-05,2.5154620059228348e-05,7.187034302636671e-07,0.0,1.0780551453955006e-06,9.702496308559506e-06,1.4374068605273343e-05,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,1.2217958314482341e-05,1.7967585756591679e-06,1.0421199738823174e-05,1.0780551453955006e-06,9.702496308559506e-06,0.0,0.0,3.9528688664501694e-06,0.0,7.187034302636671e-07,0.0,2.156110290791001e-06,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.5154620059228348e-05,0.0,0.0,0.0
was,0.0,2.012369604738268e-05,2.156110290791001e-06,0.0,0.0,1.4374068605273342e-06,7.187034302636671e-07,4.384090924608369e-05,7.187034302636671e-07,0.0,3.5935171513183356e-07,6.1089791572411706e-06,0.0,3.5935171513183356e-07,0.0,0.0,8.983792878295839e-06,0.0,0.00012685115544153726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.624441163164005e-06,7.187034302636671e-07,0.0,4.384090924608369e-05,0.0,2.5513971774360184e-05,2.5154620059228348e-05,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,2.623267520462385e-05,0.0,0.0,0.0,1.0780551453955006e-06,7.187034302636671e-07
